review_id,business_id,user_id,stars,text,date
R1000,B224,U223,2,Waste of money. Rude staff.,2021-12-17
R1001,B212,U414,2,Cold food. Never again.,2024-08-15
R1002,B112,U138,5,Will come again. Delicious.,2022-04-27
R1003,B142,U452,2,Terrible experience. Cold food.,2023-04-25
R1004,B239,U313,5,Will come again. Delicious.,2025-07-11
R1005,B129,U436,4,Great food! Will come again.,2022-03-16
R1006,B190,U409,4,Amazing service. Loved it.,2022-06-09
R1007,B245,U285,4,Delicious. Loved it.,2020-09-07
R1008,B136,U369,2,Terrible experience. Rude staff.,2023-08-18
R1009,B265,U331,1,Rude staff. Waste of money.,2025-08-15
R1010,B194,U151,4,Great food! Great food!,2021-07-23
R1011,B131,U157,3,Average food.,2025-10-12
R1012,B229,U272,4,Will come again. Delicious.,2022-07-24
R1013,B222,U181,2,Never again. Cold food.,2025-08-09
R1014,B250,U129,3,Not bad but not great.,2021-02-24
R1015,B130,U62,5,Amazing service. Loved it.,2025-09-25
R1016,B120,U99,3,Average food.,2021-12-16
R1017,B130,U390,4,Loved it. Delicious.,2024-10-10
R1018,B280,U152,2,Terrible experience. Rude staff.,2021-06-06
R1019,B136,U8,3,Not bad but not great.,2025-09-05
R1020,B236,U499,2,Cold food. Terrible experience.,2020-09-10
R1021,B191,U53,2,Rude staff. Waste of money.,2020-10-10
R1022,B268,U226,5,Will come again. Will come again.,2022-03-02
R1023,B221,U482,3,Not bad but not great.,2023-02-27
R1024,B154,U252,1,Terrible experience. Waste of money.,2020-10-21
R1025,B269,U77,4,Great food! Amazing service.,2024-05-03
R1026,B272,U286,4,Amazing service. Great food!,2023-10-20
R1027,B230,U116,3,Slightly delayed.,2024-07-15
R1028,B210,U441,2,Waste of money. Cold food.,2024-07-10
R1029,B214,U318,3,Slightly delayed.,2020-10-24
R1030,B292,U321,4,Great food! Amazing service.,2021-05-22
R1031,B161,U81,3,It was okay.,2021-03-18
R1032,B113,U81,3,It was okay.,2020-07-15
R1033,B264,U241,3,Slightly delayed.,2022-01-08
R1034,B116,U360,5,Loved it. Loved it.,2023-02-22
R1035,B183,U404,4,Amazing service. Loved it.,2025-10-22
R1036,B223,U59,2,Rude staff. Waste of money.,2024-04-21
R1037,B274,U424,4,Amazing service. Loved it.,2021-02-02
R1038,B227,U305,4,Amazing service. Loved it.,2025-10-10
R1039,B245,U240,4,Will come again. Great food!,2025-05-23
R1040,B101,U257,2,Waste of money. Cold food.,2024-08-15
R1041,B293,U21,4,Great food! Delicious.,2023-12-11
R1042,B299,U14,2,Never again. Cold food.,2020-04-22
R1043,B148,U487,4,Delicious. Delicious.,2020-11-27
R1044,B198,U21,4,Loved it. Delicious.,2021-08-17
R1045,B111,U93,4,Will come again. Loved it.,2024-07-21
R1046,B134,U497,3,Decent price.,2020-08-12
R1047,B183,U165,1,Waste of money. Cold food.,2025-02-28
R1048,B280,U211,2,Rude staff. Cold food.,2025-08-10
R1049,B204,U19,5,Will come again. Delicious.,2023-02-11
R1050,B179,U60,2,Cold food. Cold food.,2023-09-27
R1051,B152,U237,2,Terrible experience. Never again.,2023-01-07
R1052,B136,U319,5,Delicious. Loved it.,2023-11-15
R1053,B188,U137,4,Great food! Amazing service.,2024-03-10
R1054,B244,U451,3,Decent price.,2025-08-04
R1055,B123,U410,2,Terrible experience. Never again.,2021-12-06
R1056,B141,U8,4,Loved it. Delicious.,2024-07-03
R1057,B261,U237,5,Amazing service. Great food!,2020-11-27
R1058,B209,U478,1,Rude staff. Waste of money.,2025-05-17
R1059,B278,U428,4,Loved it. Will come again.,2023-08-08
R1060,B173,U283,3,Decent price.,2021-07-07
R1061,B110,U383,2,Never again. Never again.,2021-02-09
R1062,B135,U175,3,Decent price.,2024-05-27
R1063,B132,U372,1,Terrible experience. Cold food.,2022-10-19
R1064,B221,U444,3,Decent price.,2021-08-18
R1065,B185,U171,4,Will come again. Loved it.,2024-09-13
R1066,B179,U446,2,Waste of money. Cold food.,2021-12-08
R1067,B188,U120,5,Delicious. Will come again.,2023-01-11
R1068,B290,U362,3,Decent price.,2023-07-22
R1069,B203,U494,2,Rude staff. Waste of money.,2020-03-17
R1070,B123,U446,1,Never again. Cold food.,2020-08-04
R1071,B176,U8,4,Delicious. Will come again.,2025-03-14
R1072,B225,U241,2,Rude staff. Terrible experience.,2022-06-20
